esx:playerLoaded | QBCore:Client:OnPlayerLoaded
esx:useItem | QBCore:Server:UseItem
esx:removeInventoryItem | QBCore:Server:RemoveItem
esx:addInventoryItem | QBCore:Server:AddItem
playerSpawned | QBCore:Client:OnPlayerLoaded
esx:onPlayerSpawn | QBCore:Client:OnPlayerLoaded
esx:setJob | QBCore:Client:OnJobUpdate
xPlayer.showNotification | QBCore:Notify
xPlayer.showHelpNotification | QBCore:Notify
xPlayer.setMoney | xPlayer.Functions.SetMoney
QBCore.Functions.SetJob | xPlayer.setJob
xPlayer.setMoney | xPlayer.Functions.SetMoney
xPlayer.setJob | xPlayer.Functions.SetJob
xPlayer.setInventoryItem | xPlayer.Functions.AddItem
xPlayer.setCoords | SetEntityCoords
xPlayer.setAccountMoney | xPlayer.Functions.SetMoney
hospital:server:SetDeathStatus | esx:onPlayerDeath
QBCore:Notify | esx:showNotification
QBCore.Functions.GetPlayerData | ESX.GetPlayerData
QBCore:Player:SetPlayerData | ESX.SetPlayerData
QBCore.Functions.TriggerCallback | ESX.TriggerServerCallback
QBCore.Functions.DeleteVehicle | ESX.Game.DeleteVehicle
QBCore.Functions.GetClosestPed | ESX.Game.GetClosestPed
QBCore.Functions.GetClosestPlayer | ESX.Game.GetClosestPlayer
QBCore.Functions.GetClosestVehicle | ESX.Game.GetClosestVehicle
QBCore.Functions.GetPlayers | ESX.Game.GetPlayers
QBCore.Functions.GetVehicles | ESX.Game.GetVehicles
QBCore.Functions.SetVehicleProperties | ESX.Game.SetVehicleProperties
QBCore.Functions.SpawnVehicle | ESX.Game.SpawnVehicle
QBCore.Functions.DrawText3D | ESX.Game.Utils.DrawText3D
ESX.GetIdentifier | QBCore.Functions.GetIdentifier
ESX.GetPlayerFromId | QBCore.Functions.GetPlayer
ESX.GetPlayerFromIdentifier | QBCore.Functions.GetPlayerByCitizenId
ESX.GetPlayers | QBCore.Functions.GetPlayers
ESX.RegisterServerCallback | QBCore.Functions.CreateCallback
ESX.TriggerServerCallback | QBCore.Functions.TriggerCallback
ESX.RegisterUsableItem | QBCore.Functions.CreateUseableItem
ESX.UseItem | QBCore.Functions.UseItem
ESX.GetGroup | QBCore.Functions.GetPermission
xPlayer.Functions.AddMoney | xPlayer.addAccountMoney
xPlayer.Functions.AddItem | xPlayer.addInventoryItem
xPlayer.Functions.AddMoney | xPlayer.addMoney
xPlayer.Functions.AddItem | xPlayer.addWeapon
xPlayer.Functions.AddItem | xPlayer.addWeaponAmmo
xPlayer.Functions.AddItem | xPlayer.addWeaponComponent
GetEntityCoords | xPlayer.getCoords
